"code","state","city","lat","lng","coslat","coslng","sinlat","sinlng"
"1121576000","서울특별시","광진구","37.5659","127.0823","0.792652635","-0.602961567","0.609673519","0.797770236"
"1121577000","서울특별시","광진구","37.5625","127.0894","0.792688813","-0.60306042","0.609626481","0.797695512"
"1121578000","서울특별시","광진구","37.551","127.0826","0.792811157","-0.602965744","0.609467366","0.797767079"
"1121581000","서울특별시","광진구","37.5442","127.1053","0.792883484","-0.603281764","0.609373269","0.797528127"
"1121582000","서울특별시","광진구","37.5317","127.0844","0.79301641","-0.602990806","0.609200274","0.797748136"
"1121583000","서울특별시","광진구","37.526","127.0866","0.793077011","-0.603021437","0.609121379","0.797724982"
"1121584000","서울특별시","광진구","37.531","127.075","0.793023853","-0.602859919","0.609190585","0.797847052"
"1121584700","서울특별시","광진구","37.5375","127.0673","0.792954737","-0.60275269","0.609280547","0.797928063"
"1121585000","서울특별시","광진구","37.5397","127.0879","0.792931342","-0.603039537","0.609310994","0.797711299"
"1121586000","서울특별시","광진구","37.5444","127.0921","0.792881357","-0.60309801","0.609376036","0.797667092"
"1121587000","서울특별시","광진구","37.5361","127.0997","0.792969624","-0.603203812","0.609261171","0.797587087"
"1123000000","서울특별시","동대문구","37.5716","127.0421","0.792591979","-0.602401685","0.609752372","0.798193091"
"1123051000","서울특별시","동대문구","37.571","127.0268","0.792598364","-0.602188518","0.609744072","0.798353925"
"1123052000","서울특별시","동대문구","37.5733","127.0387","0.792573887","-0.602354318","0.609775888","0.798228837"
"1123053000","서울특별시","동대문구","37.5733","127.0325","0.792573887","-0.602267938","0.609775888","0.798294013"
"1123054000","서울특별시","동대문구","37.5828","127.0441","0.792472771","-0.602429547","0.609907294","0.798172062"
"1123055000","서울특별시","동대문구","37.5806","127.0365","0.792496189","-0.602323668","0.609876865","0.798251965"
"1123056000","서울특별시","동대문구","37.5752","127.0499","0.792553665","-0.602510342","0.609802171","0.798111075"
"1123057000","서울특별시","동대문구","37.5817","127.0539","0.79248448","-0.602566059","0.609892079","0.79806901"
"1123058000","서울특별시","동대문구","37.5757","127.0598","0.792548344","-0.602648237","0.609809087","0.798006957"
"1123059000","서울특별시","동대문구","37.5736","127.0584","0.792570694","-0.602628737","0.609780038","0.798021682"
"1123060000","서울특별시","동대문구","37.5693","127.0542","0.792616455","-0.602570238","0.609720555","0.798065855"
"1123061000","서울특별시","동대문구","37.5692","127.0616","0.792617519","-0.602673306","0.609719171","0.797988024"
"1123062000","서울특별시","동대문구","37.5692","127.05","0.792617519","-0.602511735","0.609719171","0.798110023"
"1123063000","서울특별시","동대문구","37.5646","127.0636","0.792666468","-0.602701161","0.609655534","0.797966986"
"1123064000","서울특별시","동대문구","37.5691","127.0533","0.792618584","-0.602557702","0.609717788","0.79807532"
"1123065000","서울특별시","동대문구","37.565","127.0685","0.792662212","-0.602769402","0.609661068","0.797915439"
"1123066000","서울특별시","동대문구","37.5684","127.0753","0.792626033","-0.602864096","0.609708104","0.797843895"
"1123067000","서울특별시","동대문구","37.5641","127.0716","0.792671788","-0.602812572","0.609648617","0.797882825"
"1123068000","서울특별시","동대문구","37.5757","127.0727","0.792548344","-0.602827891","0.609809087","0.797871252"
"1123069000","서울특별시","동대문구","37.5835","127.0495","0.79246532","-0.60250477","0.609916976","0.798115281"
"1123070000","서울특별시","동대문구","37.5842","127.0449","0.792457868","-0.602440691","0.609926657","0.798163651"
"1123071000","서울특별시","동대문구","37.588","127.0575","0.792417414","-0.602616202","0.609979214","0.798031148"
"1123072000","서울특별시","동대문구","37.5902","127.0678","0.792393992","-0.602759654","0.61000964","0.797922803"
"1123073000","서울특별시","동대문구","37.5885","127.0697","0.792412091","-0.602786113","0.609986129","0.797902815"
"1123074000","서울특별시","동대문구","37.595","127.0676","0.792342886","-0.602756868","0.610076021","0.797924907"
"1123075000","서울특별시","동대문구","37.5917","127.0586","0.792378022","-0.602631523","0.610030385","0.798019578"
"1123076000","서울특별시","동대문구","37.6005","127.0672","0.792284319","-0.602751298","0.610152078","0.797929115"
"1126000000","서울특별시","중랑구","37.6038","127.0948","0.792249175","-0.603135599","0.610197709","0.797638671"
"1126052000","서울특별시","중랑구","37.587","127.0811","0.792428061","-0.602944858","0.609965383","0.797782864"
"1126054000","서울특별시","중랑구","37.5718","127.0876","0.79258985","-0.60303536","0.609755139","0.797714457"
"1126055000","서울특별시","중랑구","37.583","127.0817","0.792470642","-0.602953212","0.60991006","0.79777655"
"1126056500","서울특별시","중랑구","37.5846","127.0897","0.79245361","-0.603064597","0.60993219","0.797692354"
"1126057000","서울특별시","중랑구","37.5762","127.0891","0.792543022","-0.603056244","0.609816003","0.797698669"
"1126057500","서울특별시","중랑구","37.5802","127.0902","0.792500447","-0.603071558","0.609871332","0.797687091"
"1126058000","서울특별시","중랑구","37.597","127.0893","0.792321589","-0.603059028","0.610103679","0.797696564"
"1126059000","서울특별시","중랑구","37.5896","127.0854","0.79240038","-0.603004729","0.610001342","0.797737611"
"1126060000","서울특별시","중랑구","37.5984","127.0828","0.792306682","-0.602968529","0.610123039","0.797764974"
"1126061000","서울특별시","중랑구","37.5922","127.077","0.792372699","-0.602887768","0.610037299","0.797826008"
"1126062000","서울특별시","중랑구","37.6096","127.0806","0.792187401","-0.602937896","0.610277905","0.797788126"
"1126063000","서울특별시","중랑구","37.6068","127.0781","0.792217224","-0.602903085","0.61023919","0.797814433"
"1126065500","서울특별시","중랑구","37.5987","127.1085","0.792303487","-0.603326305","0.610127187","0.797494432"
"1126066000","서울특별시","중랑구","37.5896","127.1003","0.79240038","-0.603212164","0.610001342","0.79758077"
"1126068000","서울특별시","중랑구","37.6031","127.1016","0.79225663","-0.60323026","0.61018803","0.797567084"
"1126069000","서울특별시","중랑구","37.6034","127.0963","0.792253435","-0.603156481","0.610192178","0.797622881"
"1129000000","서울특별시","성북구","37.5864","127.0203","0.792434448","-0.602097943","0.609957085","0.798422236"
"1129052500","서울특별시","성북구","37.5874","127.0061","0.792423802","-0.601900047","0.609970916","0.798571433"
"1129055500","서울특별시","성북구","37.5828","127.0096","0.792472771","-0.601948827","0.609907294","0.798534664"
"1129057500","서울특별시","성북구","37.5913","127.0225","0.792382281","-0.6021286","0.610024853","0.798399116"
"1129058000","서울특별시","성북구","37.6005","127.0283","0.792284319","-0.602209418","0.610152078","0.798338159"
"1129059000","서울특별시","성북구","37.5953","127.0127","0.792339691","-0.601992031","0.61008017","0.798502094"
"1129060000","서울특별시","성북구","37.5831","127.0235","0.792469578","-0.602142535","0.609911443","0.798388607"
"1129061000","서울특별시","성북구","37.5776","127.0249","0.792528121","-0.602162043","0.609835369","0.798373894"
"1129062000","서울특별시","성북구","37.5986","127.0187","0.792304552","-0.602075647","0.610125804","0.798439049"
"1129063000","서울특별시","성북구","37.6017","127.0132","0.79227154","-0.601999","0.610168671","0.798496841"
"1129064000","서울특별시","성북구","37.6062","127.0063","0.792223615","-0.601902834","0.610230894","0.798569332"
"1129065000","서울특별시","성북구","37.6108","127.0082","0.79217462","-0.601929315","0.610294496","0.798549372"
"1129066000","서울특별시","성북구","37.6018","127.0242","0.792270475","-0.602152289","0.610170054","0.79838125"
